code,name,wilaya
01,Alger-Centre,Algiers
02,Sidi M'Hamed,Algiers
03,El Madania,Algiers
04,Belouizdad,Algiers
05,Bab El Oued,Algiers
06,Bologhine,Algiers
07,Casbah,Algiers
08,Oued Koriche,Algiers
09,Bir Mourad Raïs,Algiers
10,El Biar,Algiers
11,Bouzareah,Algiers
12,Birkhadem,Algiers
13,El Harrach,Algiers
14,Baraki,Algiers
15,Oued Smar,Algiers
16,Bachdjerrah,Algiers
17,Hussein Dey,Algiers
18,Kouba,Algiers
19,Bourouba,Algiers
20,Dar El Beïda,Algiers
21,Bab Ezzouar,Algiers
22,Ben Aknoun,Algiers
23,Dely Ibrahim,Algiers
24,Hammamet,Algiers
25,Raïs Hamidou,Algiers
26,Djasr Kasentina,Algiers
27,El Mouradia,Algiers
28,Hydra,Algiers
29,Mohammadia,Algiers
30,Bordj El Kiffan,Algiers
31,El Magharia,Algiers
32,Beni Messous,Algiers
33,Les Eucalyptus,Algiers
34,Birtouta,Algiers
35,Tessala El Merdja,Algiers
36,Ouled Chebel,Algiers
37,Sidi Moussa,Algiers
38,Aïn Taya,Algiers
39,Bordj El Bahri,Algiers
40,El Marsa,Algiers
41,H'Raoua,Algiers
42,Rouïba,Algiers
43,Reghaïa,Algiers
44,Aïn Benian,Algiers
45,Staoueli,Algiers
46,Zeralda,Algiers
47,Mahelma,Algiers
48,Rahmania,Algiers
49,Souidania,Algiers
50,Cheraga,Algiers
51,Ouled Fayet,Algiers
52,El Achour,Algiers
53,Draria,Algiers
54,Douera,Algiers
55,Baba Hassen,Algiers
56,Khraicia,Algiers
57,Saoula,Algiers
