S.No.,Commune,HASC,Population
1,Abadla,DZ.BC.AB,"10,845"
2,Abalissa,DZ.TM.AB,"6,484"
3,Abi Youcef,DZ.TO.AU,"7,743"
4,Abou El Hassen,DZ.CH.AH,"20,164"
5,Achaacha,DZ.MG.AC,"31,360"
6,Adekar,DZ.BJ.AD,"13,495"
7,Adrar,DZ.AR.AD,"43,903"
8,Afir,DZ.BM.AF,"12,613"
9,Aflou,DZ.LG.AF,"53,260"
10,Aghbal,DZ.TP.AG,"6,606"
11,Aghbalou,DZ.BU.AG,"19,530"
12,Aghlal,DZ.AT.AG,"6,841"
13,Aghni-Goughrane,DZ.TO.AG,"10,833"
14,Aghrib,DZ.TO.AR,"13,408"
15,Ahl El Ksar,DZ.BU.AK,"12,315"
16,Ahmed Rachedi,DZ.ML.AR,"14,489"
17,Ahmer El Ain,DZ.TP.AA,"25,633"
18,Ahnif,DZ.BU.AF,"10,268"
19,Ain Abessa,DZ.SF.AB,"15,058"
20,Ain Abid,DZ.CO.AA,"25,958"
21,Ain Adden,DZ.SB.AA,"2,319"
22,Ain Arnat,DZ.SF.AA,"30,129"
23,Ain Azel,DZ.SF.AZ,"41,073"
24,Ain Bebouche,DZ.OB.AC,"14,597"
25,Ain Beida,DZ.OB.AB,"92,197"
26,Ain Beida,DZ.OG.AB,"14,500"
27,Ain Beida Harriche,DZ.ML.AB,"18,513"
28,Ain Ben Beida,DZ.GL.AB,"8,269"
29,Ain Benian,DZ.AD.AN,"4,677"
30,Ain Benian,DZ.AL.AB,"52,343"
31,Ain Ben Khelil,DZ.NA.AB,"3,776"
32,Ain-Bessem,DZ.BU.AB,"36,830"
33,Ain Biya,DZ.OR.AB,"26,253"
34,Ain Bouchekif,DZ.TR.AB,"12,386"
35,Ain Boucif,DZ.MD.AB,"24,434"
36,Ain Boudinar,DZ.MG.AB,"5,241"
37,Ain Bouihi,DZ.AD.AB,"13,920"
38,Ain Bouziane,DZ.SK.AB,"8,381"
39,Ain Charchar,DZ.SK.AC,"13,717"
40,Ain Chouhada,DZ.DJ.AC,"8,337"
41,Ain Defla,DZ.AD.AD,"52,276"
42,Ain Deheb,DZ.TR.AD,"25,366"
43,Aïn Djasser,DZ.BT.AD,"13,232"
44,Aïn El Arbaa,DZ.AT.AA,"12,443"
45,Ain El Assel,DZ.ET.AA,"12,482"
46,Ain El Berd,DZ.SB.AB,"13,779"
47,Ain El Berda,DZ.AN.AB,"17,446"
48,Ain El Diss,DZ.OB.AD,"2,741"
