N°,DR,wilaya,N°,Wilaya,DR,agence,cat_age,coord_y,coord_x,Coordonnées GPs
1,ALGER,ALGER,1,ALGER,ALGER, 1 Mai,FlagShip,36.76037609489532,3.057858009574551,"36.76037609489532, 3.057858009574551"
5,ALGER,ALGER,2,ALGER,ALGER,BAB EL OUED,Principale,36.791309,3.05499,"36.791309, 3.05499"
12,ALGER,ALGER,3,ALGER,ALGER,DELY BRAHIM,Principale,36.75380398125171,2.9818870550422973,"36.753799939660034, 2.981816310529821"
14,ALGER,ALGER,4,ALGER,ALGER,DRARIA,Principale,36.711081,2.997865,"36.711081, 2.997865"
15,ALGER,ALGER,5,ALGER,ALGER,EL BIAR,Principale,36.76844990215047,3.0320113423096666,"36.76844990215047, 3.0320113423096666"
16,ALGER,ALGER,6,ALGER,ALGER,EL HARRACH,Principale,36.722895,3.135593,"36.722895, 3.135593"
18,ALGER,ALGER,7,ALGER,ALGER,KOUBA,Principale,36.731239,3.085155,"36.73132619122416, 3.085214259158924"
20,ALGER,ALGER,8,ALGER,ALGER,ROUIBA,Principale,36.73685345125669,3.282892512711587,"36.73685345125669, 3.282892512711587"
22,ALGER,ALGER,9,ALGER,ALGER,SIDI ABDELLAH (NVLE VILLE)*,Principale,36.691021,2.850957,"36.691021, 2.850957"
24,ALGER,ALGER,10,ALGER,ALGER,SIDI YAHIA,Principale,36.741456,3.038924,"36.741456, 3.038924"
25,ALGER,ALGER,11,ALGER,ALGER,SOFIA,Principale,36.772425,3.06018,"36.772425, 3.06018"
26,ALGER,ALGER,12,ALGER,ALGER,STAOUELI,Principale,36.753101,2.889444,"36.753101, 2.889444"
27,ALGER,BLIDA,13,BLIDA,ALGER,BLIDA,Principale,36.473245,2.824118,"36.473245, 2.824118"
28,ALGER,BLIDA,14,BLIDA,ALGER,BOUFARIK,Principale,36.573770,2.91104,"36.573770, 2.91104"
31,ALGER,BOUIRA,15,BOUIRA,ALGER,BOUIRA,Principale,36.384846,3.899888,"36.384846, 3.899888"
33,ALGER,BOUMERDES,16,BOUMERDES,ALGER,BOUMERDES,Principale,36.755975,3.477751,"36.755975, 3.477751"
34,ALGER,TIPAZA,17,TIPAZA,ALGER,CHERCHEL,Principale,36.606504,2.19069,"36.606504, 2.19069"
36,ALGER,TIPAZA,18,TIPAZA,ALGER,KOLEA,Principale,36.63936517437876,2.7680312220965906,"36.63936517437876, 2.7680312220965906"
37,ALGER,TIPAZA,19,TIPAZA,ALGER,TIPAZA,Principale,36.591906,2.448389,"36.591906, 2.448389"
38,ALGER,TIZI OUZOU,20,TIZI OUZOU,ALGER,AZZAZGA,Principale,36.7470987417951,4.359452942309016,"36.7470987417951, 4.359452942309016"
39,ALGER,TIZI OUZOU,21,TIZI OUZOU,ALGER,TIZI OUZOU 20 AOUT,Proximité,36.713454,4.044861,"36.713454, 4.044861"
40,ALGER,TIZI OUZOU,22,TIZI OUZOU,ALGER,TIZI OUZOU CENTRE,Principale,36.703273,4.054962,"36.703273, 4.054962"
42,ANNABA,ANNABA,23,ANNABA,ANNABA,ANNABA,Principale,36.90035494249598,7.7595455674525935,"36.90035494249598, 7.7595455674525935"
46,ANNABA,ANNABA,24,ANNABA,ANNABA,SIDI ACHOUR,Proximité,36.88362955697822, 7.715304180052967,"36.88362955697822, 7.715304180052967"
48,ANNABA,EL TARF,25,EL TARF,ANNABA,EL TAREF,Principale,36.76753185570112,8.314385263173653,"36.76753185570112, 8.314385263173653"
