Nom du point de vente,Commune,Daira,Wilaya,Latitude,Longitude,Cluster
Point de Vente Alger-Centre 002,Alger-Centre,Sidi M'Hamed,Alger,36.776654630084245,3.059659000408508,1.0
Point de Vente Alger-Centre 003,Alger-Centre,Sidi M'Hamed,Alger,36.77856284847067,3.048757059448381,2.0
Point de Vente Alger-Centre 005,Alger-Centre,Sidi M'Hamed,Alger,36.76900910176119,3.062960496634352,4.0
Point de Vente Alger-Centre 006,Alger-Centre,Sidi M'Hamed,Alger,36.78030111397372,3.065275856625769,3.0
Point de Vente Alger-Centre 008,Alger-Centre,Sidi M'Hamed,Alger,36.77531119212202,3.0613972333564807,6.0
Point de Vente Alger-Centre 010,Alger-Centre,Sidi M'Hamed,Alger,36.77874790158289,3.055594433666432,7.0
Point de Vente Alger-Centre 011,Alger-Centre,Sidi M'Hamed,Alger,36.77488640714144,3.055886563867003,8.0
Point de Vente Alger-Centre 013,Alger-Centre,Sidi M'Hamed,Alger,36.77679039189017,3.059028110572172,1.0
Point de Vente Alger-Centre 015,Alger-Centre,Sidi M'Hamed,Alger,36.77086326455915,3.062353897573074,9.0
Point de Vente Alger-Centre 025,Alger-Centre,Sidi M'Hamed,Alger,36.77563183554942,3.053470683721993,13.0
Point de Vente Alger-Centre 026,Alger-Centre,Sidi M'Hamed,Alger,36.77171443127581,3.06255370538694,9.0
Point de Vente Alger-Centre 030,Alger-Centre,Sidi M'Hamed,Alger,36.78576267906998,3.0498731416533764,14.0
Point de Vente Alger-Centre 034,Alger-Centre,Sidi M'Hamed,Alger,36.77752331219987,3.053939491452495,7.0
Point de Vente Alger-Centre 041,Alger-Centre,Sidi M'Hamed,Alger,36.77546625255557,3.0531112241865266,13.0
Point de Vente Alger-Centre 042,Alger-Centre,Sidi M'Hamed,Alger,36.77968493886803,3.052114540285672,16.0
Point de Vente Alger-Centre 047,Alger-Centre,Sidi M'Hamed,Alger,36.78043640105695,3.05122861722789,16.0
Point de Vente Alger-Centre 049,Alger-Centre,Sidi M'Hamed,Alger,36.77898791401895,3.053464335591731,7.0
